kana³;kontrola bl.;protokol;packetSize;iloscPackietow;errorRate;avBER;avOpTime;avResendPCounter
BSC;PB;SAW;8;10;1000;0.000200;0.000000;0.091485;0.015000
BSC;PB;SAW;8;10;1000;0.000400;0.000000;0.093061;0.030015
BSC;PB;SAW;8;10;1000;0.000600;0.000000;0.094944;0.049030
BSC;PB;SAW;8;10;1000;0.000800;0.000000;0.096035;0.060049
BSC;PB;SAW;8;10;1000;0.001000;0.000013;0.097917;0.079060
BSC;PB;SAW;8;10;1000;0.001200;0.000000;0.098810;0.088079
BSC;PB;SAW;8;10;1000;0.001400;0.000025;0.103266;0.133088
BSC;PB;SAW;8;10;1000;0.001600;0.000113;0.103468;0.135133
BSC;PB;SAW;8;10;1000;0.001800;0.000050;0.106042;0.161135
BSC;PB;SAW;8;10;1000;0.002000;0.000025;0.107233;0.173161
BSC;PB;SAW;8;10;1000;0.002200;0.000088;0.111392;0.215173
BSC;PB;SAW;8;10;1000;0.002400;0.000138;0.109515;0.196215
BSC;PB;SAW;8;10;1000;0.002600;0.000075;0.113474;0.236196
BSC;PB;SAW;8;10;1000;0.002800;0.000100;0.116051;0.262236
BSC;PB;SAW;8;10;1000;0.003000;0.000088;0.115757;0.259262
BSC;PB;SAW;8;10;1000;0.003200;0.000013;0.119222;0.294259
BSC;PB;SAW;8;10;1000;0.003400;0.000163;0.120908;0.311294
BSC;PB;SAW;8;10;1000;0.003600;0.000013;0.120217;0.304311
BSC;PB;SAW;8;10;1000;0.003800;0.000113;0.124473;0.347304
BSC;PB;SAW;8;10;1000;0.004000;0.000125;0.126655;0.369347
BSC;PB;SAW;8;10;1000;0.004200;0.000138;0.126064;0.363369
BSC;PB;SAW;8;10;1000;0.004400;0.000113;0.128241;0.385363
BSC;PB;SAW;8;10;1000;0.004600;0.000075;0.133589;0.439385
BSC;PB;SAW;8;10;1000;0.004800;0.000175;0.134486;0.448439
BSC;PB;SAW;8;10;1000;0.005000;0.000250;0.135674;0.460448
BSC;PB;SAW;8;10;1000;0.005200;0.000275;0.136864;0.472460
BSC;PB;SAW;8;10;1000;0.005400;0.000100;0.137756;0.481472
BSC;PB;SAW;8;10;1000;0.005600;0.000300;0.135777;0.461481
BSC;PB;SAW;8;10;1000;0.005800;0.000200;0.136567;0.469461
BSC;PB;SAW;8;10;1000;0.006000;0.000338;0.143894;0.543469
BSC;PB;SAW;8;10;1000;0.006200;0.000300;0.146970;0.574543
BSC;PB;SAW;8;10;1000;0.006400;0.000325;0.147270;0.577575
BSC;PB;SAW;8;10;1000;0.006600;0.000313;0.150240;0.607578
BSC;PB;SAW;8;10;1000;0.006800;0.000450;0.146679;0.571608
BSC;PB;SAW;8;10;1000;0.007000;0.000300;0.153210;0.637572
BSC;PB;SAW;8;10;1000;0.007200;0.000563;0.155592;0.661638
BSC;PB;SAW;8;10;1000;0.007400;0.000576;0.156387;0.669662
BSC;PB;SAW;8;10;1000;0.007600;0.000413;0.164703;0.753670
BSC;PB;SAW;8;10;1000;0.007800;0.000625;0.162138;0.727754
BSC;PB;SAW;8;10;1000;0.008000;0.000451;0.157977;0.685728
BSC;PB;SAW;8;10;1000;0.008200;0.000550;0.159755;0.703686
BSC;PB;SAW;8;10;1000;0.008400;0.000601;0.160153;0.707704
BSC;PB;SAW;8;10;1000;0.008600;0.000613;0.169855;0.805708
BSC;PB;SAW;8;10;1000;0.008800;0.000638;0.169073;0.797806
BSC;PB;SAW;8;10;1000;0.009000;0.000551;0.171745;0.824798
BSC;PB;SAW;8;10;1000;0.009200;0.000876;0.172045;0.827825
BSC;PB;SAW;8;10;1000;0.009400;0.000801;0.171550;0.822828
BSC;PB;SAW;8;10;1000;0.009600;0.000638;0.175807;0.865823
BSC;PB;SAW;8;10;1000;0.009800;0.000713;0.180365;0.911866
BSC;PB;SAW;8;10;1000;0.010000;0.000976;0.180765;0.915912
BSC;PB;SAW;16;10;1000;0.000200;0.000013;0.173927;0.021000
BSC;PB;SAW;16;10;1000;0.000400;0.000000;0.183264;0.070021
BSC;PB;SAW;16;10;1000;0.000600;0.000000;0.188322;0.097070
BSC;PB;SAW;16;10;1000;0.000800;0.000013;0.193376;0.124097
BSC;PB;SAW;16;10;1000;0.001000;0.000000;0.199926;0.159124
BSC;PB;SAW;16;10;1000;0.001200;0.000013;0.210218;0.214159
BSC;PB;SAW;16;10;1000;0.001400;0.000013;0.211911;0.223214
BSC;PB;SAW;16;10;1000;0.001600;0.000063;0.222572;0.280223
BSC;PB;SAW;16;10;1000;0.001800;0.000031;0.220526;0.269280
BSC;PB;SAW;16;10;1000;0.002000;0.000050;0.234549;0.344269
BSC;PB;SAW;16;10;1000;0.002200;0.000081;0.243165;0.390344
BSC;PB;SAW;16;10;1000;0.002400;0.000113;0.250653;0.430390
BSC;PB;SAW;16;10;1000;0.002600;0.000156;0.253653;0.446430
BSC;PB;SAW;16;10;1000;0.002800;0.000106;0.262071;0.491446
BSC;PB;SAW;16;10;1000;0.003000;0.000125;0.266193;0.513491
BSC;PB;SAW;16;10;1000;0.003200;0.000219;0.273303;0.551513
BSC;PB;SAW;16;10;1000;0.003400;0.000181;0.283221;0.604552
BSC;PB;SAW;16;10;1000;0.003600;0.000238;0.284353;0.610605
BSC;PB;SAW;16;10;1000;0.003800;0.000169;0.293517;0.659611
BSC;PB;SAW;16;10;1000;0.004000;0.000238;0.304186;0.716660
BSC;PB;SAW;16;10;1000;0.004200;0.000194;0.301017;0.699717
BSC;PB;SAW;16;10;1000;0.004400;0.000306;0.310738;0.751700
BSC;PB;SAW;16;10;1000;0.004600;0.000388;0.311496;0.755752
BSC;PB;SAW;16;10;1000;0.004800;0.000300;0.333188;0.871756
BSC;PB;SAW;16;10;1000;0.005000;0.000532;0.325356;0.829872
BSC;PB;SAW;16;10;1000;0.005200;0.000457;0.331706;0.863830
BSC;PB;SAW;16;10;1000;0.005400;0.000338;0.344990;0.934864
BSC;PB;SAW;16;10;1000;0.005600;0.000544;0.351735;0.970935
BSC;PB;SAW;16;10;1000;0.005800;0.000432;0.353425;0.979971
BSC;PB;SAW;16;10;1000;0.006000;0.000688;0.371565;1.076980
BSC;PB;SAW;16;10;1000;0.006200;0.000557;0.369714;1.067077
BSC;PB;SAW;16;10;1000;0.006400;0.000713;0.358866;1.009067
BSC;PB;SAW;16;10;1000;0.006600;0.000601;0.380734;1.126009
BSC;PB;SAW;16;10;1000;0.006800;0.000669;0.387114;1.160126
BSC;PB;SAW;16;10;1000;0.007000;0.000913;0.392169;1.187160
BSC;PB;SAW;16;10;1000;0.007200;0.001001;0.400402;1.231187
BSC;PB;SAW;16;10;1000;0.007400;0.000807;0.405272;1.257231
BSC;PB;SAW;16;10;1000;0.007600;0.000876;0.401537;1.237257
BSC;PB;SAW;16;10;1000;0.007800;0.000988;0.424161;1.358237
BSC;PB;SAW;16;10;1000;0.008000;0.001145;0.438021;1.432358
BSC;PB;SAW;16;10;1000;0.008200;0.001257;0.430368;1.391432
BSC;PB;SAW;16;10;1000;0.008400;0.001014;0.429612;1.387391
BSC;PB;SAW;16;10;1000;0.008600;0.001045;0.431295;1.396387
